category,language,mother_tongue,most_at_home,most_at_work,lang_known
Aboriginal languages,"Aboriginal languages, n.o.s.",20,5,0,15
Non-Official & Non-Aboriginal languages,Afrikaans,960,505,15,1955
Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",45,15,0,170
Non-Official & Non-Aboriginal languages,Akan (Twi),705,330,0,1150
Non-Official & Non-Aboriginal languages,Albanian,1365,620,25,1735
Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Aboriginal languages,Algonquin,5,0,0,0
Non-Official & Non-Aboriginal languages,American Sign Language,100,85,25,910
Non-Official & Non-Aboriginal languages,Amharic,4075,2730,50,5775
Non-Official & Non-Aboriginal languages,Arabic,18965,11010,240,28535
Non-Official & Non-Aboriginal languages,Armenian,250,110,0,295
Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,295,200,10,330
Aboriginal languages,"Athabaskan languages, n.i.e.",0,0,0,0
Aboriginal languages,Atikamekw,0,0,0,0
Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",5,5,0,10
Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",485,145,0,570
Non-Official & Non-Aboriginal languages,Azerbaijani,240,100,0,350
Aboriginal languages,Babine (Wetsuwet'en),0,0,0,0
Non-Official & Non-Aboriginal languages,Bamanankan,15,5,0,20
Aboriginal languages,Beaver,0,0,0,0
Non-Official & Non-Aboriginal languages,Belarusan,20,0,0,70
Non-Official & Non-Aboriginal languages,Bengali,4140,2750,15,5050
Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",80,35,0,90
Non-Official & Non-Aboriginal languages,Bikol,205,45,0,165
Non-Official & Non-Aboriginal languages,Bilen,50,45,0,65
Aboriginal languages,Blackfoot,235,60,0,350
Non-Official & Non-Aboriginal languages,Bosnian,845,395,15,1330
Non-Official & Non-Aboriginal languages,Bulgarian,945,480,0,1100
Non-Official & Non-Aboriginal languages,Burmese,270,175,15,340
Non-Official & Non-Aboriginal languages,Cantonese,34235,22245,2845,43110
Aboriginal languages,Carrier,0,0,0,0
Non-Official & Non-Aboriginal languages,Catalan,45,20,0,85
Aboriginal languages,Cayuga,0,0,0,0
Non-Official & Non-Aboriginal languages,Cebuano,2015,865,0,2825
Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",20,5,0,190
Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,85,75,0,115
Aboriginal languages,Chilcotin,0,0,0,10
Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",10,5,0,15
Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",2485,1605,125,3105
Aboriginal languages,Comox,0,0,0,0
Aboriginal languages,"Cree, n.o.s.",140,60,0,255
Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",180,65,0,605
Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",430,220,0,1115
Non-Official & Non-Aboriginal languages,Croatian,2100,745,15,2770
Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",10,5,0,30
Non-Official & Non-Aboriginal languages,Czech,1500,425,0,1795
Aboriginal languages,Dakota,25,10,0,60
Non-Official & Non-Aboriginal languages,Danish,860,70,0,1060
Aboriginal languages,Dene,20,10,0,25
Non-Official & Non-Aboriginal languages,Dinka,725,445,0,785
Aboriginal languages,Dogrib (Tlicho),0,0,0,10
Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",30,20,0,80
Non-Official & Non-Aboriginal languages,Dutch,4045,490,0,4945
Non-Official & Non-Aboriginal languages,Edo,105,25,0,240
Official languages,English,937055,1065070,844740,1343335
Non-Official & Non-Aboriginal languages,Estonian,95,15,0,110
Non-Official & Non-Aboriginal languages,Ewe,60,15,0,75
Non-Official & Non-Aboriginal languages,Fijian,45,20,0,140
Non-Official & Non-Aboriginal languages,Finnish,325,50,0,350
Official languages,French,20720,8630,2140,101440
Non-Official & Non-Aboriginal languages,Frisian,40,5,0,65
Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",80,45,0,135
Non-Official & Non-Aboriginal languages,Ga,65,20,0,110
Non-Official & Non-Aboriginal languages,Ganda,40,5,0,75
Non-Official & Non-Aboriginal languages,Georgian,130,80,0,140
Non-Official & Non-Aboriginal languages,German,11865,1540,75,19075
Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",10,5,0,75
Aboriginal languages,Gitxsan (Gitksan),0,0,0,15
Non-Official & Non-Aboriginal languages,Greek,1590,500,10,2490
Non-Official & Non-Aboriginal languages,Gujarati,5575,3125,20,8590
Aboriginal languages,Gwich'in,5,5,0,0
Aboriginal languages,Haida,0,0,0,0
Aboriginal languages,Haisla,0,0,0,0
