category,language,mother_tongue,most_at_home,most_at_work,lang_known
Aboriginal languages,"Aboriginal languages, n.o.s.",70,15,0,35
Non-Official & Non-Aboriginal languages,Afrikaans,1435,520,10,4225
Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",45,10,0,95
Non-Official & Non-Aboriginal languages,Akan (Twi),400,125,10,495
Non-Official & Non-Aboriginal languages,Albanian,1090,530,10,1135
Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Aboriginal languages,Algonquin,5,0,0,15
Non-Official & Non-Aboriginal languages,American Sign Language,265,300,140,2035
Non-Official & Non-Aboriginal languages,Amharic,1140,540,10,1755
Non-Official & Non-Aboriginal languages,Arabic,14320,8680,275,19995
Non-Official & Non-Aboriginal languages,Armenian,1060,505,0,1460
Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,630,400,25,715
Aboriginal languages,"Athabaskan languages, n.i.e.",5,0,0,10
Aboriginal languages,Atikamekw,0,0,0,0
Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",35,15,0,60
Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",830,260,20,1175
Non-Official & Non-Aboriginal languages,Azerbaijani,500,185,10,840
Aboriginal languages,Babine (Wetsuwet'en),5,0,0,0
Non-Official & Non-Aboriginal languages,Bamanankan,10,5,0,20
Aboriginal languages,Beaver,0,0,0,0
Non-Official & Non-Aboriginal languages,Belarusan,60,10,0,205
Non-Official & Non-Aboriginal languages,Bengali,2680,1570,15,3145
Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",60,20,0,65
Non-Official & Non-Aboriginal languages,Bikol,310,65,0,490
Non-Official & Non-Aboriginal languages,Bilen,5,5,0,15
Aboriginal languages,Blackfoot,25,0,0,15
Non-Official & Non-Aboriginal languages,Bosnian,1155,545,0,1775
Non-Official & Non-Aboriginal languages,Bulgarian,1720,925,10,1975
Non-Official & Non-Aboriginal languages,Burmese,1040,690,20,1385
Non-Official & Non-Aboriginal languages,Cantonese,184365,132185,22890,223700
Aboriginal languages,Carrier,35,5,0,45
Non-Official & Non-Aboriginal languages,Catalan,125,60,0,245
Aboriginal languages,Cayuga,0,0,0,0
Non-Official & Non-Aboriginal languages,Cebuano,3210,1085,10,4185
Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",65,5,0,685
Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,435,305,0,550
Aboriginal languages,Chilcotin,25,0,0,0
Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",195,105,0,195
Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",8485,5045,845,8745
Aboriginal languages,Comox,0,0,0,20
Aboriginal languages,"Cree, n.o.s.",145,15,10,185
Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",225,75,0,750
Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",365,205,0,1025
Non-Official & Non-Aboriginal languages,Croatian,5465,1795,30,7995
Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",10,5,0,0
Non-Official & Non-Aboriginal languages,Czech,3565,1030,20,4575
Aboriginal languages,Dakota,20,10,0,20
Non-Official & Non-Aboriginal languages,Danish,2070,180,10,2460
Aboriginal languages,Dene,20,10,0,10
Non-Official & Non-Aboriginal languages,Dinka,80,40,0,45
Aboriginal languages,Dogrib (Tlicho),0,0,0,0
