Text,Size,Color,Angle,Font,Repeat,URL
Hello,1,Random,Random,Random,Yes,
Bonjour,1,Random,Random,Random,Yes,
Ni hao,1,Random,Random,Random,Yes,
Sata sri akala,1,Random,Random,Random,Yes,
Atelihai,1,Random,Random,Random,Yes,
Aanii,1,Random,Random,Random,Yes,
Edlanete,1,Random,Random,Random,Yes,
Kue,1,Random,Random,Random,Yes,
Gwe’,1,Random,Random,Random,Yes,
Hola,1,Random,Random,Random,Yes,
Kamusta,1,Random,Random,Random,Yes,
As-Salaam-Alaikum,1,Random,Random,Random,Yes,
Hallo,1,Random,Random,Random,Yes,
Ciao,1,Random,Random,Random,Yes,
Privet,1,Random,Random,Random,Yes,
Dzien dobry,1,Random,Random,Random,Yes,
Xin chao,1,Random,Random,Random,Yes,
Yeoboseyo,1,Random,Random,Random,Yes,
